tipo_gerador,tipo_atividade,bairro,tipo_residuo_principal,residuo_organico_principal,origem_residuo,quantidade_semanal,num_pessoas,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,interesse_aprender
Pessoa física (residência),Residencial,Presidente Médici,Papelão,Cascas de legumes e verduras,Consumo diário,Mais de 200 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,Não sei informar,Não,Não
Pessoa física (residência),"Alimentação (restaurante, padaria, mercado, etc.)",Santa Maria,Vidro,Cascas de legumes e verduras,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Sim
Pessoa física (residência),Residencial,São Cristóvão,Óleo residual,Casca de ovos,Consumo diário,10 a 50 kg por semana,4 a 6,Coleta pública comum,Não sei,Não,Alto teor orgânico,Não,Não
Microempreendedor individual (MEI),Residencial,Jardim América,Orgânicos,Restos de comida,Consumo diário,10 a 50 kg por semana,10 a 30,Coleta pública comum,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,Não
Pessoa física (residência),Residencial,Santa Maria,Plástico,Cascas de frutas,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta seletiva,Não,Sim,É úmido,Sim,Não
Pessoa física (residência),Serviços,Palmital,Papelão,Cascas de frutas,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Sim,Nunca pensei sobre isso,É úmido,Não,Talvez
Pessoa física (residência),Serviços,Vila Real,Orgânicos,Casca de ovos,Processo produtivo,5 a 10 kg por semana,1 a 3,Compostagem,Não,Não,É úmido,Não,Sim
Pequena empresa,Residencial,Vila Real,Óleo residual,Restos de comida,Consumo diário,5 a 10 kg por semana,4 a 6,Coleta pública comum,Não sei,Sim,É úmido,Não,Talvez
Pessoa física (residência),Indústria de alimentos,Centro,Papelão,Borra de café,Processo produtivo,5 a 10 kg por semana,1 a 3,Coleta pública comum,Não,Sim,É úmido,Não,Não
Microempreendedor individual (MEI),Residencial,Vila Real,Vidro,Restos de comida,Processo produtivo,5 a 10 kg por semana,1 a 3,Coleta pública comum,Sim,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,Sim
Pequena empresa,"Alimentação (restaurante, padaria, mercado, etc.)",Centro,Orgânicos,Restos de comida,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,Sim
Microempreendedor individual (MEI),Comércio,Santa Maria,Papelão,Cascas de frutas,Processo produtivo,1 a 5 kg por semana,4 a 6,Coleta seletiva,Não,Sim,É úmido,Não,Sim
Microempreendedor individual (MEI),Residencial,Palmital,Plástico,Cascas de legumes e verduras,Consumo diário,1 a 5 kg por semana,4 a 6,Coleta pública comum,Não,Nunca pensei sobre isso,É úmido,Não,Talvez
